as_of_date,release_revision,revision_fingerprint,source_list,source_reported_registry_status,coverage_class,record_count
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Revoked","keyed",32597
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Revoked","unkeyed",12
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Subject to Cease and Desist Order","keyed",29
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Subject to Cease and Desist Order","unkeyed",3
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Suspended","keyed",3510
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Current","keyed",60741
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Current","unkeyed",2
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Current - Awaiting Reporting","keyed",1503
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Current - In Process","keyed",24637
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Current - Probationary Registration","keyed",1163
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Current - Reporting Incomplete","keyed",7186
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt","keyed",3230
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt","unkeyed",1182
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt - Facility Financing","keyed",4
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt - Facility Financing","unkeyed",217
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt - Form 990-PF Required","keyed",184
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt - Form 990-PF Required","unkeyed",12
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt - Religious","keyed",3909
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Exempt - Religious","unkeyed",56358
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-operate","Registered - Corporate Trustee","keyed",1009
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Closed - Registration Not Required","keyed",37
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Closed - Registration Not Required","unkeyed",247
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Dissolution Pending","keyed",812
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Dissolution Pending","unkeyed",80
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Dissolution Waiver Issued","keyed",4627
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Dissolution Waiver Issued","unkeyed",439
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Dissolved","keyed",59475
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Dissolved","unkeyed",5634
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Dissolution Pending","keyed",92
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Dissolution Pending","unkeyed",126
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Dissolution Waiver Issued","keyed",137
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Dissolution Waiver Issued","unkeyed",672
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Dissolved","keyed",20571
